5 0 0 0 0 0 0 
44175.9 -5.90665e+10 -1.32496e+10 4.37208e+09   1965.9 -45649.6 -3967.43
44175.9 -6.96887e+10 -8.35189e+10 2.86446e+09   28514.5 -22837 -2089.8
47331.3 -2.88599e+10 1.44413e+11 2.1891e+07   -29906 -6829.79 -65.1279
47331.3 -2.84752e+10 1.44316e+11 -1.93008e+06   -29707.6 -5866.43 0.879419
47331.3 -32.4467 -4.48577 1.41535   -0.00128349 -0.000181563 5.56962e-05
47331.3 -5.90599e+10 -1.33935e+10 4.35954e+09   2076.57 -45624.7 -3975.62
47331.3 -6.95987e+10 -8.35909e+10 2.85786e+09   28537.1 -22809.8 -2090.73
50486.8 -2.89542e+10 1.44391e+11 2.1684e+07   -29894.5 -6850.67 -65.6082
50486.8 -2.85689e+10 1.44298e+11 -1.92728e+06   -29704 -5885.4 0.885542
50486.8 -36.7652 -5.09964 1.60255   -0.00136862 -0.000194546 5.93243e-05
50486.8 -5.9053e+10 -1.35374e+10 4.34697e+09   2187.09 -45599.7 -3983.78
50486.8 -6.95086e+10 -8.36628e+10 2.85126e+09   28559.7 -22782.7 -2091.66
53642.2 -2.90485e+10 1.4437e+11 2.14754e+07   -29883 -6871.48 -66.0848
53642.2 -2.86626e+10 1.44279e+11 -1.92447e+06   -29700.3 -5904.36 0.89162
53642.2 -41.3523 -5.75483 1.80116   -0.0014537 -0.000207637 6.29417e-05
53642.2 -5.90458e+10 -1.36812e+10 4.33437e+09   2297.47 -45574.4 -3991.91
53642.2 -6.94184e+10 -8.37346e+10 2.84466e+09   28582.3 -22755.5 -2092.59
56797.6 -2.91428e+10 1.44348e+11 2.12654e+07   -29871.4 -6892.24 -66.5577
56797.6 -2.87563e+10 1.4426e+11 -1.92164e+06   -29696.6 -5923.33 0.897653
56797.6 -46.2076 -6.45166 2.01114   -0.00153873 -0.000220838 6.65486e-05
56797.6 -5.90382e+10 -1.3825e+10 4.32175e+09   2407.7 -45548.8 -4000
56797.6 -6.93281e+10 -8.38063e+10 2.83805e+09   28604.9 -22728.2 -2093.51
59953 -2.9237e+10 1.44326e+11 2.10539e+07   -29859.8 -6912.93 -67.0269
59953 -2.885e+10 1.44242e+11 -1.91878e+06   -29692.9 -5942.29 0.90364
